idx;result;table;_start;_stop;_time;_value;InstallationName;_field;_measurement
45;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T07:30:00Z;-17,95;acme;a;007955_0x40
46;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T07:40:00Z;-18,95;acme;a;007955_0x40
47;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T07:50:00Z;-19,43;acme;a;007955_0x40
48;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T08:00:00Z;-18,06;acme;a;007955_0x40
49;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T08:10:00Z;-19,33;acme;a;007955_0x40
50;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T08:20:00Z;-18,69;acme;a;007955_0x40
51;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T08:30:00Z;-18,4;acme;a;007955_0x40
52;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T08:40:00Z;-19,51;acme;a;007955_0x40
53;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T08:50:00Z;-18,43;acme;a;007955_0x40
54;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T09:00:00Z;-17,87;acme;a;007955_0x40
55;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T09:10:00Z;-17,64;acme;a;007955_0x40
56;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T09:20:00Z;-18,64;acme;a;007955_0x40
57;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T09:30:00Z;-15,56;acme;a;007955_0x40
58;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T09:40:00Z;-18,25;acme;a;007955_0x40
59;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T09:50:00Z;-19,55;acme;a;007955_0x40
60;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T10:00:00Z;-18,3;acme;a;007955_0x40
61;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T10:10:00Z;-18,6;acme;a;007955_0x40
62;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T10:20:00Z;-19,22;acme;a;007955_0x40
